Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
195,Drowning,T. J. Newman,3.8,EBOOK,14.0,AVAILABLE,No wait,0.0
196,The Last Letter,Rebecca Yarros,4.0,EBOOK,15.0,WAIT LIST,6 months,27.0
197,Ugly Love,Colleen Hoover,4.2,EBOOK,3.0,WAIT LIST,6 months,27.0
198,Every Summer After,Carley Fortune,4.2,EBOOK,3.0,WAIT LIST,6 months,27.0
199,Out of Nowhere,Sandra Brown,3.8,EBOOK,10.0,WAIT LIST,2 weeks,2.0
200,Our Missing Hearts,Celeste Ng,3.6,EBOOK,3.0,WAIT LIST,21 weeks,21.0
201,Intermezzo,Sally Rooney,3.6,EBOOK,10.0,WAIT LIST,6 months,27.0
202,"Red, White & Royal Blue",Casey McQuiston,4.2,EBOOK,8.0,AVAILABLE,No wait,0.0
203,Ready Player One,Ernest Cline,4.5,EBOOK,20.0,AVAILABLE,No wait,0.0
204,Ruthless Vows,Rebecca Ross,4.0,EBOOK,8.0,AVAILABLE,5 weeks,5.0
205,Tom Lake,Ann Patchett,3.8,EBOOK,6.0,WAIT LIST,6 months,27.0
206,The Disappeared,C. J. Box,4.0,EBOOK,25.0,AVAILABLE,No wait,0.0
207,No Brainer,Jeff Kinney,4.7,EBOOK,1.0,WAIT LIST,6 months,27.0
208,12 Months to Live,James Patterson,3.7,EBOOK,8.0,AVAILABLE,No wait,0.0
209,Magic Hour,Kristin Hannah,4.2,EBOOK,8.0,WAIT LIST,6 months,27.0
210,Random in Death,J. D. Robb,4.3,EBOOK,10.0,WAIT LIST,2 weeks,2.0
211,The Ballad of Songbirds and Snakes,Suzanne Collins,4.0,EBOOK,17.0,AVAILABLE,No wait,0.0
212,Joy,Danielle Steel,3.4,EBOOK,12.0,WAIT LIST,26 weeks,26.0
213,The Four Winds,Kristin Hannah,4.1,EBOOK,7.0,WAIT LIST,6 months,27.0
214,Dead Mountain,Douglas Preston,4.1,EBOOK,10.0,AVAILABLE,No wait,0.0
215,Elon Musk,Walter Isaacson,3.5,EBOOK,6.0,WAIT LIST,3 weeks,3.0
216,The Au Pair Affair,Tessa Bailey,3.4,EBOOK,7.0,WAIT LIST,6 months,27.0
217,Angel of Vengeance,Douglas Preston,3.8,EBOOK,10.0,WAIT LIST,24 weeks,24.0
218,The Boys from Biloxi,John Grisham,3.6,EBOOK,4.0,WAIT LIST,14 weeks,14.0
219,Payback in Death,J. D. Robb,4.3,EBOOK,12.0,WAIT LIST,2 weeks,2.0
220,Judgment Prey,John Sandford,4.0,EBOOK,2.0,WAIT LIST,12 weeks,12.0
221,The Secret Book of Flora Lea,Patti Callahan Henry,3.8,EBOOK,10.0,WAIT LIST,2 weeks,2.0
222,The Cabinet of Dr. Leng,Douglas Preston,3.8,EBOOK,12.0,AVAILABLE,No wait,0.0
223,The Wager,David Grann,4.1,EBOOK,9.0,WAIT LIST,25 weeks,25.0
224,"Love, Theoretically",Ali Hazelwood,4.3,EBOOK,3.0,WAIT LIST,6 months,27.0
225,The Girl in His Shadow,Audrey Blake,4.0,EBOOK,5.0,WAIT LIST,2 weeks,2.0
226,The Only One Left,Riley Sager,3.9,EBOOK,9.0,WAIT LIST,6 months,27.0
227,The Soulmate,Sally Hepworth,3.7,EBOOK,8.0,AVAILABLE,No wait,0.0
228,The Grey Wolf,Louise Penny,3.7,EBOOK,12.0,WAIT LIST,6 months,27.0
229,Capture or Kill,Vince Flynn,3.5,EBOOK,11.0,WAIT LIST,6 months,27.0
230,Hello Stranger,Katherine Center,4.0,EBOOK,8.0,WAIT LIST,2 weeks,2.0
231,The Hunger Games,Suzanne Collins,4.6,EBOOK,2.0,WAIT LIST,6 weeks,6.0
232,No Plan B,Lee Child,3.9,EBOOK,3.0,WAIT LIST,19 weeks,19.0
233,One Step Too Far,Lisa Gardner,4.2,EBOOK,2.0,WAIT LIST,24 weeks,24.0
234,Framed,John Grisham,2.9,EBOOK,14.0,WAIT LIST,6 months,27.0
235,Two by Two,Nicholas Sparks,3.9,EBOOK,20.0,AVAILABLE,No wait,0.0
236,Blackout,John J. Nance,3.9,EBOOK,1.0,WAIT LIST,2 weeks,2.0
237,You Shouldn't Have Come Here,Jeneva Rose,3.3,EBOOK,1.0,WAIT LIST,6 months,27.0
238,The Book Thief,Markus Zusak,4.3,EBOOK,40.0,WAIT LIST,2 weeks,2.0
239,Texas Ranger,James Patterson,3.8,EBOOK,16.0,AVAILABLE,No wait,0.0
240,Hopeless,Colleen Hoover,3.6,EBOOK,6.0,WAIT LIST,9 weeks,9.0
1,Hillbilly Elegy,J. D. Vance,3.9,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
2,The Women,Kristin Hannah,4.4,AUDIOBOOK,18.0,WAIT LIST,6 months,27.0
3,The Woman in Me,Britney Spears,3.8,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
4,It Ends With Us,Colleen Hoover,4.2,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
5,The Boyfriend,Freida McFadden,3.4,AUDIOBOOK,2.0,WAIT LIST,6 months,27.0
6,Funny Story,Emily Henry,4.1,AUDIOBOOK,14.0,WAIT LIST,6 months,27.0
7,So You Want to Talk about Race,Ijeoma Oluo,4.1,AUDIOBOOK,1.0,AVAILABLE,No wait,0.0
8,A Court of Thorns and Roses,Sarah J. Maas,4.1,AUDIOBOOK,6.0,WAIT LIST,6 months,27.0
9,None of This is True,Lisa Jewell,3.9,AUDIOBOOK,15.0,WAIT LIST,6 months,27.0
10,All the Colors of the Dark,Chris Whitaker,3.4,AUDIOBOOK,16.0,WAIT LIST,6 months,27.0
11,You Shouldn't Have Come Here,Jeneva Rose,3.2,AUDIOBOOK,,AVAILABLE,No wait,0.0
12,Fourth Wing,Rebecca Yarros,4.1,AUDIOBOOK,31.0,WAIT LIST,6 weeks,6.0
13,Iron Flame,Rebecca Yarros,4.1,AUDIOBOOK,44.0,AVAILABLE,No wait,0.0
14,Eruption,Michael Crichton,3.4,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
15,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,3.7,AUDIOBOOK,18.0,WAIT LIST,2 weeks,2.0
16,Apprentice to the Villain,Hannah Nicole Maehrer,3.3,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
17,A Court of Mist and Fury,Sarah J. Maas,4.4,AUDIOBOOK,3.0,WAIT LIST,6 months,27.0
18,It Starts With Us,Colleen Hoover,3.8,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
19,First Lie Wins,Ashley Elston,3.8,AUDIOBOOK,20.0,WAIT LIST,6 months,27.0
20,A Court of Silver Flames,Sarah J. Maas,4.2,AUDIOBOOK,9.0,WAIT LIST,6 months,27.0
21,101 Essays That Will Change the Way You Think,Brianna Wiest,3.6,AUDIOBOOK,,AVAILABLE,No wait,0.0
22,The Four Winds,Kristin Hannah,4.2,AUDIOBOOK,20.0,WAIT LIST,2 weeks,2.0
23,Never Lie,Freida McFadden,3.7,AUDIOBOOK,2.0,WAIT LIST,6 months,27.0
24,Dune,Frank Herbert,4.1,AUDIOBOOK,20.0,WAIT LIST,5 weeks,5.0
25,The Anxious Generation,Jonathan Haidt,3.6,AUDIOBOOK,15.0,WAIT LIST,6 months,27.0
26,Home Is Where the Bodies Are,Jeneva Rose,3.7,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
27,City of Thieves,David Benioff,4.3,AUDIOBOOK,4.0,AVAILABLE,No wait,0.0
28,The President Is Missing,James Patterson,3.5,AUDIOBOOK,22.0,AVAILABLE,No wait,0.0
29,Here One Moment,Liane Moriarty,3.7,AUDIOBOOK,14.0,WAIT LIST,6 months,27.0
30,Remarkably Bright Creatures,ShelVan Pelt,4.4,AUDIOBOOK,18.0,WAIT LIST,23 weeks,23.0
